mjd,datetime_str,RA,DEC,V,RA_rate,DEC_rate
58368.5,2018-Sep-07 12:00,227.11462,-10.79169,19.545,94.74118,-5.86268
58369.5,2018-Sep-08 12:00,227.75856,-10.83299,19.548,94.96608,-5.81747
58370.5,2018-Sep-09 12:00,228.40406,-10.87397,19.552,95.1907,-5.76485
58371.5,2018-Sep-10 12:00,229.05113,-10.91459,19.556,95.4145,-5.70471
58372.5,2018-Sep-11 12:00,229.69975,-10.95479,19.559,95.63707,-5.63698
58373.5,2018-Sep-12 12:00,230.34991,-10.99453,19.563,95.85817,-5.56167
58374.5,2018-Sep-13 12:00,231.00162,-11.03375,19.566,96.07772,-5.47883
58375.5,2018-Sep-14 12:00,231.65485,-11.0724,19.569,96.29578,-5.38859
58376.5,2018-Sep-15 12:00,232.3096,-11.11044,19.572,96.51248,-5.29107
58377.5,2018-Sep-16 12:00,232.96585,-11.14781,19.575,96.72798,-5.18642
58378.5,2018-Sep-17 12:00,233.62361,-11.18447,19.578,96.94246,-5.07478
58379.5,2018-Sep-18 12:00,234.28286,-11.22037,19.581,97.1561,-4.95628
58380.5,2018-Sep-19 12:00,234.9436,-11.25547,19.584,97.36906,-4.83107
58381.5,2018-Sep-20 12:00,235.60582,-11.28972,19.586,97.58149,-4.69928
58382.5,2018-Sep-21 12:00,236.26952,-11.32308,19.589,97.79357,-4.56103
58383.5,2018-Sep-22 12:00,236.9347,-11.3555,19.591,98.00546,-4.41645
58384.5,2018-Sep-23 12:00,237.60135,-11.38695,19.594,98.21736,-4.26568
58385.5,2018-Sep-24 12:00,238.26948,-11.41738,19.596,98.42948,-4.10883
58386.5,2018-Sep-25 12:00,238.93908,-11.44675,19.598,98.64204,-3.94604
58387.5,2018-Sep-26 12:00,239.61016,-11.47503,19.601,98.85528,-3.77743
58388.5,2018-Sep-27 12:00,240.28272,-11.50217,19.603,99.06943,-3.6031
58389.5,2018-Sep-28 12:00,240.95677,-11.52813,19.605,99.28467,-3.42313
58390.5,2018-Sep-29 12:00,241.63231,-11.55289,19.607,99.50116,-3.2376
58391.5,2018-Sep-30 12:00,242.30935,-11.57639,19.608,99.71898,-3.04655
58392.5,2018-Oct-01 12:00,242.98789,-11.59861,19.61,99.93814,-2.85
58393.5,2018-Oct-02 12:00,243.66795,-11.61951,19.612,100.1586,-2.64794
58394.5,2018-Oct-03 12:00,244.34953,-11.63905,19.614,100.38,-2.44034
58395.5,2018-Oct-04 12:00,245.03263,-11.65719,19.615,100.6023,-2.22714
58396.5,2018-Oct-05 12:00,245.71725,-11.6739,19.617,100.8249,-2.00827
58397.5,2018-Oct-06 12:00,246.40339,-11.68913,19.618,101.0474,-1.78366
58398.5,2018-Oct-07 12:00,247.09105,-11.70285,19.619,101.2692,-1.55323
58399.5,2018-Oct-08 12:00,247.78021,-11.71502,19.621,101.4899,-1.31696
58400.5,2018-Oct-09 12:00,248.47087,-11.7256,19.622,101.7089,-1.07483
58401.5,2018-Oct-10 12:00,249.16301,-11.73455,19.623,101.926,-0.82691
58402.5,2018-Oct-11 12:00,249.8566,-11.74183,19.624,102.1408,-0.57328
58403.5,2018-Oct-12 12:00,250.55164,-11.7474,19.625,102.3534,-0.31408
58404.5,2018-Oct-13 12:00,251.2481,-11.75123,19.626,102.5636,-0.04943
58405.5,2018-Oct-14 12:00,251.94596,-11.75328,19.627,102.7717,0.220497
58406.5,2018-Oct-15 12:00,252.6452,-11.75352,19.628,102.9775,0.495552
58407.5,2018-Oct-16 12:00,253.3458,-11.75191,19.629,103.1814,0.775584
58408.5,2018-Oct-17 12:00,254.04776,-11.74841,19.63,103.3832,1.060444
58409.5,2018-Oct-18 12:00,254.75104,-11.74301,19.63,103.5832,1.349989
58410.5,2018-Oct-19 12:00,255.45563,-11.73565,19.631,103.7814,1.644075
58411.5,2018-Oct-20 12:00,256.16152,-11.72632,19.631,103.978,1.942559
58412.5,2018-Oct-21 12:00,256.86869,-11.71499,19.632,104.173,2.245296
58413.5,2018-Oct-22 12:00,257.57712,-11.70163,19.632,104.3666,2.552143
58414.5,2018-Oct-23 12:00,258.28681,-11.6862,19.633,104.5591,2.862958
58415.5,2018-Oct-24 12:00,258.99773,-11.66869,19.633,104.7507,3.177608
58416.5,2018-Oct-25 12:00,259.70989,-11.64906,19.634,104.9416,3.495973
58417.5,2018-Oct-26 12:00,260.42326,-11.6273,19.634,105.132,3.817952
58418.5,2018-Oct-27 12:00,261.13784,-11.60338,19.634,105.3222,4.143467
58419.5,2018-Oct-28 12:00,261.85363,-11.57727,19.634,105.5122,4.472464
58420.5,2018-Oct-29 12:00,262.57062,-11.54896,19.635,105.7022,4.804913
58421.5,2018-Oct-30 12:00,263.2888,-11.51841,19.635,105.8919,5.1408
58422.5,2018-Oct-31 12:00,264.00817,-11.48561,19.635,106.0813,5.480123
58423.5,2018-Nov-01 12:00,264.72872,-11.45053,19.635,106.27,5.822883
58424.5,2018-Nov-02 12:00,265.45043,-11.41315,19.635,106.4576,6.169076
58425.5,2018-Nov-03 12:00,266.17328,-11.37344,19.635,106.6437,6.518685
58426.5,2018-Nov-04 12:00,266.89728,-11.33138,19.635,106.8279,6.871672
58427.5,2018-Nov-05 12:00,267.62238,-11.28696,19.635,107.0098,7.227972
58428.5,2018-Nov-06 12:00,268.34858,-11.24014,19.634,107.1888,7.587488
58429.5,2018-Nov-07 12:00,269.07584,-11.19091,19.634,107.3647,7.950092
58430.5,2018-Nov-08 12:00,269.80414,-11.13924,19.634,107.5371,8.315625
58431.5,2018-Nov-09 12:00,270.53344,-11.08511,19.634,107.706,8.683908
58432.5,2018-Nov-10 12:00,271.26372,-11.02852,19.634,107.8712,9.054749
58433.5,2018-Nov-11 12:00,271.99494,-10.96943,19.633,108.0327,9.427951
58434.5,2018-Nov-12 12:00,272.72708,-10.90784,19.633,108.1905,9.803317
58435.5,2018-Nov-13 12:00,273.46011,-10.84373,19.633,108.3447,10.18066
58436.5,2018-Nov-14 12:00,274.19399,-10.77709,19.632,108.4954,10.55978
58437.5,2018-Nov-15 12:00,274.92869,-10.7079,19.632,108.6426,10.9405
58438.5,2018-Nov-16 12:00,275.66419,-10.63616,19.631,108.7865,11.32264
58439.5,2018-Nov-17 12:00,276.40046,-10.56186,19.631,108.927,11.70601
58440.5,2018-Nov-18 12:00,277.13748,-10.48498,19.63,109.0643,12.09044
58441.5,2018-Nov-19 12:00,277.8752,-10.40552,19.63,109.1986,12.47575
58442.5,2018-Nov-20 12:00,278.61362,-10.32348,19.629,109.33,12.86176
58443.5,2018-Nov-21 12:00,279.35271,-10.23885,19.629,109.4588,13.24831
58444.5,2018-Nov-22 12:00,280.09244,-10.15163,19.628,109.5854,13.63527
58445.5,2018-Nov-23 12:00,280.8328,-10.06181,19.628,109.7099,14.02252
58446.5,2018-Nov-24 12:00,281.57377,-9.96939,19.627,109.8328,14.40996
58447.5,2018-Nov-25 12:00,282.31534,-9.87438,19.626,109.9542,14.79755
58448.5,2018-Nov-26 12:00,283.05749,-9.77676,19.626,110.0743,15.18523
58449.5,2018-Nov-27 12:00,283.8002,-9.67654,19.625,110.193,15.57298
58450.5,2018-Nov-28 12:00,284.54348,-9.57372,19.624,110.3102,15.96078
58451.5,2018-Nov-29 12:00,285.28729,-9.4683,19.623,110.4257,16.34857
58452.5,2018-Nov-30 12:00,286.03163,-9.36027,19.623,110.5391,16.73628
58453.5,2018-Dec-01 12:00,286.77647,-9.24964,19.622,110.6501,17.12383
58454.5,2018-Dec-02 12:00,287.52181,-9.13641,19.621,110.7583,17.5111
58455.5,2018-Dec-03 12:00,288.2676,-9.02058,19.621,110.8633,17.89794
